Month,Department,COGSTRY,DepreciationTRY,InterestTRY,OperatingExpenseTRY,RevenueTRY,TaxTRY,GrossProfitTRY,EBITDATRY,EBITTRY,EBTTRY,NetIncomeTRY,GrossMarginPct,EBITDAMarginPct,NetIncomeMarginPct,Version,Year,MonthKey
2023-01-01,Customer Success,1068068.99,0.0,0.0,2213049.84,4217622.23,0.0,3149553.24,936503.4000000004,936503.4000000004,936503.4000000004,936503.4000000004,0.7467603944225227,0.22204534899750855,0.22204534899750855,Actual,2023,2023-01
2023-01-01,Finance & Corporate,0.0,0.0,420000.0,4597685.65,0.0,378605.52,0.0,-4597685.65,-4597685.65,-5017685.65,-5396291.17,,,,Actual,2023,2023-01
2023-01-01,Marketing,0.0,0.0,0.0,4918158.21,0.0,0.0,0.0,-4918158.21,-4918158.21,-4918158.21,-4918158.21,,,,Actual,2023,2023-01
2023-01-01,Operations,0.0,0.0,0.0,6611928.38,0.0,0.0,0.0,-6611928.38,-6611928.38,-6611928.38,-6611928.38,,,,Actual,2023,2023-01
2023-01-01,Sales,40695191.78,0.0,0.0,14520866.66,78747627.44,0.0,38052435.66,23531568.999999996,23531568.999999996,23531568.999999996,23531568.999999996,0.48322009052264087,0.2988225774538966,0.2988225774538966,Actual,2023,2023-01
2023-01-01,Technology,0.0,0.0,0.0,6405878.07,0.0,0.0,0.0,-6405878.07,-6405878.07,-6405878.07,-6405878.07,,,,Actual,2023,2023-01
2023-02-01,Customer Success,1084564.4300000002,0.0,0.0,2180346.46,4271921.19,0.0,3187356.7600000002,1007010.3000000003,1007010.3000000003,1007010.3000000003,1007010.3000000003,0.7461178748945975,0.23572773354463503,0.23572773354463503,Actual,2023,2023-02
2023-02-01,Finance & Corporate,0.0,0.0,420000.0,4581111.58,0.0,907670.07,0.0,-4581111.58,-4581111.58,-5001111.58,-5908781.65,,,,Actual,2023,2023-02
2023-02-01,Marketing,0.0,0.0,0.0,4912500.54,0.0,0.0,0.0,-4912500.54,-4912500.54,-4912500.54,-4912500.54,,,,Actual,2023,2023-02
2023-02-01,Operations,0.0,0.0,0.0,6764637.71,0.0,0.0,0.0,-6764637.71,-6764637.71,-6764637.71,-6764637.71,,,,Actual,2023,2023-02
2023-02-01,Sales,42565149.43,0.0,0.0,14657834.719999999,82993210.19,0.0,40428060.76,25770226.04,25770226.04,25770226.04,25770226.04,0.48712491862221335,0.31051005234046364,0.31051005234046364,Actual,2023,2023-02
2023-02-01,Technology,0.0,0.0,0.0,6468306.24,0.0,0.0,0.0,-6468306.24,-6468306.24,-6468306.24,-6468306.24,,,,Actual,2023,2023-02
2023-03-01,Customer Success,1131939.58,0.0,0.0,2194327.95,4523176.62,0.0,3391237.04,1196909.0899999999,1196909.0899999999,1196909.0899999999,1196909.0899999999,0.7497467653606681,0.2646169253501314,0.2646169253501314,Actual,2023,2023-03
2023-03-01,Finance & Corporate,0.0,0.0,420000.0,4695903.95,0.0,1780406.2,0.0,-4695903.95,-4695903.95,-5115903.95,-6896310.15,,,,Actual,2023,2023-03
2023-03-01,Marketing,0.0,0.0,0.0,5005802.72,0.0,0.0,0.0,-5005802.72,-5005802.72,-5005802.72,-5005802.72,,,,Actual,2023,2023-03
2023-03-01,Operations,0.0,0.0,0.0,6761802.54,0.0,0.0,0.0,-6761802.54,-6761802.54,-6761802.54,-6761802.54,,,,Actual,2023,2023-03
2023-03-01,Sales,46671018.57,0.0,0.0,15083479.94,91008955.89999999,0.0,44337937.32999999,29254457.389999993,29254457.389999993,29254457.389999993,29254457.389999993,0.48718213379701014,0.32144591815935775,0.32144591815935775,Actual,2023,2023-03
2023-03-01,Technology,0.0,0.0,0.0,6446232.47,0.0,0.0,0.0,-6446232.47,-6446232.47,-6446232.47,-6446232.47,,,,Actual,2023,2023-03
2023-04-01,Customer Success,1167667.48,0.0,0.0,2287343.02,4614981.93,0.0,3447314.4499999997,1159971.4299999997,1159971.4299999997,1159971.4299999997,1159971.4299999997,0.7469833040061329,0.2513490729962619,0.2513490729962619,Actual,2023,2023-04
2023-04-01,Finance & Corporate,0.0,0.0,420000.0,4829411.72,0.0,1803288.82,0.0,-4829411.72,-4829411.72,-5249411.72,-7052700.54,,,,Actual,2023,2023-04
2023-04-01,Marketing,0.0,0.0,0.0,5080345.27,0.0,0.0,0.0,-5080345.27,-5080345.27,-5080345.27,-5080345.27,,,,Actual,2023,2023-04
2023-04-01,Operations,0.0,0.0,0.0,7088407.0200000005,0.0,0.0,0.0,-7088407.0200000005,-7088407.0200000005,-7088407.0200000005,-7088407.0200000005,,,,Actual,2023,2023-04
2023-04-01,Sales,49317057.82,0.0,0.0,15762131.07,95381521.6,0.0,46064463.779999994,30302332.709999993,30302332.709999993,30302332.709999993,30302332.709999993,0.4829495588587884,0.3176960505733848,0.3176960505733848,Actual,2023,2023-04
2023-04-01,Technology,0.0,0.0,0.0,6830984.859999999,0.0,0.0,0.0,-6830984.859999999,-6830984.859999999,-6830984.859999999,-6830984.859999999,,,,Actual,2023,2023-04
2023-05-01,Customer Success,1166217.22,0.0,0.0,2305207.25,4615057.1,0.0,3448839.88,1143632.63,1143632.63,1143632.63,1143632.63,0.7473016704387038,0.2478046544646219,0.2478046544646219,Actual,2023,2023-05
2023-05-01,Finance & Corporate,0.0,0.0,420000.0,4954335.21,0.0,2188773.63,0.0,-4954335.21,-4954335.21,-5374335.21,-7563108.84,,,,Actual,2023,2023-05
2023-05-01,Marketing,0.0,0.0,0.0,5124582.16,0.0,0.0,0.0,-5124582.16,-5124582.16,-5124582.16,-5124582.16,,,,Actual,2023,2023-05
2023-05-01,Operations,0.0,0.0,0.0,7045699.19,0.0,0.0,0.0,-7045699.19,-7045699.19,-7045699.19,-7045699.19,,,,Actual,2023,2023-05
2023-05-01,Sales,50295399.3,0.0,0.0,15930859.44,98275980.24,0.0,47980580.94,32049721.5,32049721.5,32049721.5,32049721.5,0.488222868119214,0.32611958101797917,0.32611958101797917,Actual,2023,2023-05
2023-05-01,Technology,0.0,0.0,0.0,6893643.05,0.0,0.0,0.0,-6893643.05,-6893643.05,-6893643.05,-6893643.05,,,,Actual,2023,2023-05
2023-06-01,Customer Success,1238287.7,0.0,0.0,2421713.48,4899993.81,0.0,3661706.1099999994,1239992.6299999994,1239992.6299999994,1239992.6299999994,1239992.6299999994,0.7472879052473741,0.25306004009013217,0.25306004009013217,Actual,2023,2023-06
