Date,MonthKey,MonthLabel,MonthName,MonthNo,Quarter,Year,FiscalYear,MonthIndex,IsActual,IsBudgetYear,IsRollingForecast
2023-01-01,2023-01,Jan 2023,January,1,Q1,2023,FY2023,1,True,False,False
2023-02-01,2023-02,Feb 2023,February,2,Q1,2023,FY2023,2,True,False,False
2023-03-01,2023-03,Mar 2023,March,3,Q1,2023,FY2023,3,True,False,False
2023-04-01,2023-04,Apr 2023,April,4,Q2,2023,FY2023,4,True,False,False
2023-05-01,2023-05,May 2023,May,5,Q2,2023,FY2023,5,True,False,False
2023-06-01,2023-06,Jun 2023,June,6,Q2,2023,FY2023,6,True,False,False
2023-07-01,2023-07,Jul 2023,July,7,Q3,2023,FY2023,7,True,False,False
2023-08-01,2023-08,Aug 2023,August,8,Q3,2023,FY2023,8,True,False,False
2023-09-01,2023-09,Sep 2023,September,9,Q3,2023,FY2023,9,True,False,False
2023-10-01,2023-10,Oct 2023,October,10,Q4,2023,FY2023,10,True,False,False
2023-11-01,2023-11,Nov 2023,November,11,Q4,2023,FY2023,11,True,False,False
2023-12-01,2023-12,Dec 2023,December,12,Q4,2023,FY2023,12,True,False,False
2024-01-01,2024-01,Jan 2024,January,1,Q1,2024,FY2024,13,True,False,False
2024-02-01,2024-02,Feb 2024,February,2,Q1,2024,FY2024,14,True,False,False
2024-03-01,2024-03,Mar 2024,March,3,Q1,2024,FY2024,15,True,False,False
2024-04-01,2024-04,Apr 2024,April,4,Q2,2024,FY2024,16,True,False,False
2024-05-01,2024-05,May 2024,May,5,Q2,2024,FY2024,17,True,False,False
2024-06-01,2024-06,Jun 2024,June,6,Q2,2024,FY2024,18,True,False,False
2024-07-01,2024-07,Jul 2024,July,7,Q3,2024,FY2024,19,True,False,False
2024-08-01,2024-08,Aug 2024,August,8,Q3,2024,FY2024,20,True,False,False
2024-09-01,2024-09,Sep 2024,September,9,Q3,2024,FY2024,21,True,False,False
2024-10-01,2024-10,Oct 2024,October,10,Q4,2024,FY2024,22,True,False,False
2024-11-01,2024-11,Nov 2024,November,11,Q4,2024,FY2024,23,True,False,False
2024-12-01,2024-12,Dec 2024,December,12,Q4,2024,FY2024,24,True,False,False
2025-01-01,2025-01,Jan 2025,January,1,Q1,2025,FY2025,25,True,False,False
2025-02-01,2025-02,Feb 2025,February,2,Q1,2025,FY2025,26,True,False,False
2025-03-01,2025-03,Mar 2025,March,3,Q1,2025,FY2025,27,True,False,False
2025-04-01,2025-04,Apr 2025,April,4,Q2,2025,FY2025,28,True,False,False
2025-05-01,2025-05,May 2025,May,5,Q2,2025,FY2025,29,True,False,False
2025-06-01,2025-06,Jun 2025,June,6,Q2,2025,FY2025,30,True,False,False
2025-07-01,2025-07,Jul 2025,July,7,Q3,2025,FY2025,31,True,False,False
2025-08-01,2025-08,Aug 2025,August,8,Q3,2025,FY2025,32,True,False,False
2025-09-01,2025-09,Sep 2025,September,9,Q3,2025,FY2025,33,True,False,False
2025-10-01,2025-10,Oct 2025,October,10,Q4,2025,FY2025,34,True,False,False
2025-11-01,2025-11,Nov 2025,November,11,Q4,2025,FY2025,35,True,False,False
2025-12-01,2025-12,Dec 2025,December,12,Q4,2025,FY2025,36,True,False,False
2026-01-01,2026-01,Jan 2026,January,1,Q1,2026,FY2026,37,True,True,False
2026-02-01,2026-02,Feb 2026,February,2,Q1,2026,FY2026,38,True,True,False
2026-03-01,2026-03,Mar 2026,March,3,Q1,2026,FY2026,39,True,True,False
2026-04-01,2026-04,Apr 2026,April,4,Q2,2026,FY2026,40,True,True,False
2026-05-01,2026-05,May 2026,May,5,Q2,2026,FY2026,41,True,True,False
2026-06-01,2026-06,Jun 2026,June,6,Q2,2026,FY2026,42,True,True,False
2026-07-01,2026-07,Jul 2026,July,7,Q3,2026,FY2026,43,False,True,True
2026-08-01,2026-08,Aug 2026,August,8,Q3,2026,FY2026,44,False,True,True
2026-09-01,2026-09,Sep 2026,September,9,Q3,2026,FY2026,45,False,True,True
2026-10-01,2026-10,Oct 2026,October,10,Q4,2026,FY2026,46,False,True,True
2026-11-01,2026-11,Nov 2026,November,11,Q4,2026,FY2026,47,False,True,True
2026-12-01,2026-12,Dec 2026,December,12,Q4,2026,FY2026,48,False,True,True
2027-01-01,2027-01,Jan 2027,January,1,Q1,2027,FY2027,49,False,False,True
2027-02-01,2027-02,Feb 2027,February,2,Q1,2027,FY2027,50,False,False,True
2027-03-01,2027-03,Mar 2027,March,3,Q1,2027,FY2027,51,False,False,True
2027-04-01,2027-04,Apr 2027,April,4,Q2,2027,FY2027,52,False,False,True
2027-05-01,2027-05,May 2027,May,5,Q2,2027,FY2027,53,False,False,True
2027-06-01,2027-06,Jun 2027,June,6,Q2,2027,FY2027,54,False,False,True
