Month,CostCenterID,Department,BusinessUnit,Region,Version,PeriodStatus,SourceSystem,AccountKey,AmountTRY
2023-01-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A4000,16846175.34
2023-01-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A5000,6460082.18
2023-01-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A5010,468351.4
2023-01-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A5020,513200.66
2023-01-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A6000,1378608.08
2023-01-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A6010,255042.5
2023-01-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A6100,874935.27
2023-01-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A6200,298608.97
2023-01-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A6300,167404.0
2023-01-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A6400,81470.78
2023-01-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A6500,38410.72
2023-01-01,CC-101,Sales,Digital Commerce,Türkiye,Actual,Actual,Synthetic ERP,A6600,26642.87
2023-01-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A4000,10829969.4
2023-01-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A5000,4342350.51
2023-01-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A5010,347499.81
2023-01-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A5020,346364.75
2023-01-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A6000,957087.29
2023-01-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A6010,177061.15
2023-01-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A6100,529737.6
2023-01-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A6200,187930.11
2023-01-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A6300,96457.88
2023-01-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A6400,48896.06
2023-01-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A6500,26836.48
2023-01-01,CC-102,Sales,Digital Commerce,Europe,Actual,Actual,Synthetic ERP,A6600,17750.71
2023-01-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A4000,6290618.77
2023-01-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A5000,2658070.19
2023-01-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A5010,323156.32
2023-01-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A5020,219783.51
2023-01-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A6000,566914.9
2023-01-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A6010,104879.26
2023-01-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A6100,311007.94
2023-01-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A6200,117719.69
2023-01-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A6300,61294.99
2023-01-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A6400,31653.53
2023-01-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A6500,17945.78
2023-01-01,CC-103,Sales,Digital Commerce,MENA,Actual,Actual,Synthetic ERP,A6600,10933.98
2023-01-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A4010,13245911.59
2023-01-01,CC-201,Sales,Retail Stores,Türkiye,Actual,Actual,Synthetic ERP,A5000,6151891.85
