Month,CostCenterID,Department,BusinessUnit,Region,Version,PeriodStatus,SourceSystem,AccountKey,AmountTRY
2026-01-01,CC-101,Sales,Digital Commerce,Türkiye,Budget,Budget,FY2026 Budget v1,A4000,26764959.12
2026-01-01,CC-101,Sales,Digital Commerce,Türkiye,Budget,Budget,FY2026 Budget v1,A5000,10010094.71
2026-01-01,CC-101,Sales,Digital Commerce,Türkiye,Budget,Budget,FY2026 Budget v1,A5010,722653.9
2026-01-01,CC-101,Sales,Digital Commerce,Türkiye,Budget,Budget,FY2026 Budget v1,A5020,776183.81
2026-01-01,CC-101,Sales,Digital Commerce,Türkiye,Budget,Budget,FY2026 Budget v1,A6000,2155262.6
2026-01-01,CC-101,Sales,Digital Commerce,Türkiye,Budget,Budget,FY2026 Budget v1,A6010,398723.58
2026-01-01,CC-101,Sales,Digital Commerce,Türkiye,Budget,Budget,FY2026 Budget v1,A6100,1284718.04
2026-01-01,CC-101,Sales,Digital Commerce,Türkiye,Budget,Budget,FY2026 Budget v1,A6200,457186.71
2026-01-01,CC-101,Sales,Digital Commerce,Türkiye,Budget,Budget,FY2026 Budget v1,A6300,238197.67
2026-01-01,CC-101,Sales,Digital Commerce,Türkiye,Budget,Budget,FY2026 Budget v1,A6400,123497.39
2026-01-01,CC-101,Sales,Digital Commerce,Türkiye,Budget,Budget,FY2026 Budget v1,A6500,64854.77
2026-01-01,CC-101,Sales,Digital Commerce,Türkiye,Budget,Budget,FY2026 Budget v1,A6600,43855.46
2026-01-01,CC-102,Sales,Digital Commerce,Europe,Budget,Budget,FY2026 Budget v1,A4000,16666131.12
2026-01-01,CC-102,Sales,Digital Commerce,Europe,Budget,Budget,FY2026 Budget v1,A5000,6566455.66
2026-01-01,CC-102,Sales,Digital Commerce,Europe,Budget,Budget,FY2026 Budget v1,A5010,516650.06
2026-01-01,CC-102,Sales,Digital Commerce,Europe,Budget,Budget,FY2026 Budget v1,A5020,516650.06
2026-01-01,CC-102,Sales,Digital Commerce,Europe,Budget,Budget,FY2026 Budget v1,A6000,1782236.41
2026-01-01,CC-102,Sales,Digital Commerce,Europe,Budget,Budget,FY2026 Budget v1,A6010,329713.74
2026-01-01,CC-102,Sales,Digital Commerce,Europe,Budget,Budget,FY2026 Budget v1,A6100,799974.29
2026-01-01,CC-102,Sales,Digital Commerce,Europe,Budget,Budget,FY2026 Budget v1,A6200,283499.25
2026-01-01,CC-102,Sales,Digital Commerce,Europe,Budget,Budget,FY2026 Budget v1,A6300,140813.73
2026-01-01,CC-102,Sales,Digital Commerce,Europe,Budget,Budget,FY2026 Budget v1,A6400,76190.1
2026-01-01,CC-102,Sales,Digital Commerce,Europe,Budget,Budget,FY2026 Budget v1,A6500,41799.72
2026-01-01,CC-102,Sales,Digital Commerce,Europe,Budget,Budget,FY2026 Budget v1,A6600,26763.89
2026-01-01,CC-103,Sales,Digital Commerce,MENA,Budget,Budget,FY2026 Budget v1,A4000,10245920.47
2026-01-01,CC-103,Sales,Digital Commerce,MENA,Budget,Budget,FY2026 Budget v1,A5000,4241811.07
2026-01-01,CC-103,Sales,Digital Commerce,MENA,Budget,Budget,FY2026 Budget v1,A5010,522541.94
2026-01-01,CC-103,Sales,Digital Commerce,MENA,Budget,Budget,FY2026 Budget v1,A5020,348361.3
2026-01-01,CC-103,Sales,Digital Commerce,MENA,Budget,Budget,FY2026 Budget v1,A6000,1019604.96
2026-01-01,CC-103,Sales,Digital Commerce,MENA,Budget,Budget,FY2026 Budget v1,A6010,188626.92
2026-01-01,CC-103,Sales,Digital Commerce,MENA,Budget,Budget,FY2026 Budget v1,A6100,491804.18
2026-01-01,CC-103,Sales,Digital Commerce,MENA,Budget,Budget,FY2026 Budget v1,A6200,178896.23
2026-01-01,CC-103,Sales,Digital Commerce,MENA,Budget,Budget,FY2026 Budget v1,A6300,94839.85
2026-01-01,CC-103,Sales,Digital Commerce,MENA,Budget,Budget,FY2026 Budget v1,A6400,48112.84
2026-01-01,CC-103,Sales,Digital Commerce,MENA,Budget,Budget,FY2026 Budget v1,A6500,25526.8
2026-01-01,CC-103,Sales,Digital Commerce,MENA,Budget,Budget,FY2026 Budget v1,A6600,15204.4
2026-01-01,CC-201,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A4010,17840533.55
2026-01-01,CC-201,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A5000,8099602.23
2026-01-01,CC-201,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A5010,338970.14
2026-01-01,CC-201,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A5020,428172.81
2026-01-01,CC-201,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A6000,2746578.31
2026-01-01,CC-201,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A6010,508116.99
2026-01-01,CC-201,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A6100,355108.68
2026-01-01,CC-201,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A6200,310336.96
2026-01-01,CC-201,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A6300,333962.09
2026-01-01,CC-201,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A6400,416797.93
2026-01-01,CC-201,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A6500,90987.67
2026-01-01,CC-201,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A6600,63885.91
2026-01-01,CC-201,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A6700,103333.33
2026-01-01,CC-202,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A4010,13064155.5
2026-01-01,CC-202,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A5000,6061768.15
2026-01-01,CC-202,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A5010,222090.64
2026-01-01,CC-202,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A5020,339668.04
2026-01-01,CC-202,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A6000,1972894.23
2026-01-01,CC-202,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A6010,364985.43
2026-01-01,CC-202,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A6100,250543.29
2026-01-01,CC-202,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A6200,234793.43
2026-01-01,CC-202,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A6300,256018.27
2026-01-01,CC-202,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A6400,337181.16
2026-01-01,CC-202,Sales,Retail Stores,Türkiye,Budget,Budget,FY2026 Budget v1,A6500,73249.01
