Month,ProjectID,CostCenterID,Department,Version,CapexSpendTRY,DepreciationTRY,RemainingNBVTRY
2023-01-01,CPX-001,CC-701,Technology,Actual,0.0,0.0,8150000.0
2023-02-01,CPX-001,CC-701,Technology,Actual,1630000.0,0.0,8150000.0
2023-03-01,CPX-001,CC-701,Technology,Actual,1630000.0,0.0,8150000.0
2023-04-01,CPX-001,CC-701,Technology,Actual,1630000.0,0.0,8150000.0
2023-05-01,CPX-001,CC-701,Technology,Actual,1630000.0,0.0,8150000.0
2023-06-01,CPX-001,CC-701,Technology,Actual,1630000.0,169791.67,7980208.33
2023-07-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,7810416.67
2023-08-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,7640625.0
2023-09-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,7470833.33
2023-10-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,7301041.67
2023-11-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,7131250.0
2023-12-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,6961458.33
2024-01-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,6791666.67
2024-02-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,6621875.0
2024-03-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,6452083.33
2024-04-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,6282291.67
2024-05-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,6112500.0
2024-06-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,5942708.33
2024-07-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,5772916.67
2024-08-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,5603125.0
2024-09-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,5433333.33
2024-10-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,5263541.67
2024-11-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,5093750.0
2024-12-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,4923958.33
2025-01-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,4754166.67
2025-02-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,4584375.0
2025-03-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,4414583.33
2025-04-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,4244791.67
2025-05-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,4075000.0
2025-06-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,3905208.33
2025-07-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,3735416.67
2025-08-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,3565625.0
2025-09-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,3395833.33
2025-10-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,3226041.67
2025-11-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,3056250.0
2025-12-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,2886458.33
2026-01-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,2716666.67
2026-02-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,2546875.0
2026-03-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,2377083.33
2026-04-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,2207291.67
2026-05-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,2037500.0
2026-06-01,CPX-001,CC-701,Technology,Actual,0.0,169791.67,1867708.33
