Month,Version,BeginningCashTRY,CashFromOperationsTRY,CapitalExpenditureTRY,FinancingCashFlowTRY,NetCashFlowTRY,EndingCashTRY
2023-01-01,Actual,52000000.0,1135816.57,0.0,0.0,1135816.57,53135816.57
2023-02-01,Actual,53135816.57,-16359884.58,1630000.0,0.0,-17989884.58,35145931.99
2023-03-01,Actual,35145931.99,7433884.54,1630000.0,-2000000.0,3803884.54,38949816.53
2023-04-01,Actual,38949816.53,-5559637.53,1630000.0,0.0,-7189637.53,31760179.0
2023-05-01,Actual,31760179.0,8113000.59,2705000.0,0.0,5408000.59,37168179.59
2023-06-01,Actual,37168179.59,209574.42,2705000.0,-2000000.0,-4495425.58,32672754.01
2023-07-01,Actual,32672754.01,14660472.92,1075000.0,0.0,13585472.92,46258226.93
2023-08-01,Actual,46258226.93,11827800.48,1075000.0,0.0,10752800.48,57011027.41
2023-09-01,Actual,57011027.41,-14129673.41,1075000.0,-2000000.0,-17204673.41,39806354.0
2023-10-01,Actual,39806354.0,-8638236.35,1075000.0,0.0,-9713236.35,30093117.65
2023-11-01,Actual,30093117.65,-3647207.75,0.0,0.0,-3647207.75,26445909.9
2023-12-01,Actual,26445909.9,9039278.58,0.0,-2000000.0,7039278.58,33485188.48
2024-01-01,Actual,33485188.48,72673034.39,1757142.86,0.0,70915891.53,104401080.01
2024-02-01,Actual,104401080.01,-11913811.35,1757142.86,0.0,-13670954.21,90730125.8
2024-03-01,Actual,90730125.8,1742904.87,1757142.86,30000000.0,29985762.01,120715887.81
2024-04-01,Actual,120715887.81,-5415029.54,3744642.86,0.0,-9159672.4,111556215.41
2024-05-01,Actual,111556215.41,11950272.83,3744642.86,0.0,8205629.97,119761845.38
2024-06-01,Actual,119761845.38,-2490752.91,3744642.86,-2000000.0,-8235395.77,111526449.61
2024-07-01,Actual,111526449.61,21755466.27,3744642.86,0.0,18010823.41,129537273.02
2024-08-01,Actual,129537273.02,10706684.9,1987500.0,0.0,8719184.9,138256457.92
2024-09-01,Actual,138256457.92,-19606344.57,1987500.0,-2000000.0,-23593844.57,114662613.35
2024-10-01,Actual,114662613.35,-9695772.75,1987500.0,0.0,-11683272.75,102979340.6
2024-11-01,Actual,102979340.6,-2352399.23,1987500.0,0.0,-4339899.23,98639441.37
2024-12-01,Actual,98639441.37,5587842.66,0.0,-2000000.0,3587842.66,102227284.03
2025-01-01,Actual,102227284.03,79103400.74,1558333.33,0.0,77545067.41,179772351.44
2025-02-01,Actual,179772351.44,-18183028.54,1558333.33,0.0,-19741361.87,160030989.57
2025-03-01,Actual,160030989.57,3924737.04,2708333.33,-2000000.0,-783596.29,159247393.28
2025-04-01,Actual,159247393.28,218144.1,2708333.33,0.0,-2490189.23,156757204.05
2025-05-01,Actual,156757204.05,12121429.13,2708333.33,0.0,9413095.8,166170299.85
2025-06-01,Actual,166170299.85,-762335.05,2708333.33,-2000000.0,-5470668.38,160699631.47
2025-07-01,Actual,160699631.47,22403685.85,2283333.33,0.0,20120352.52,180819983.99
2025-08-01,Actual,180819983.99,11252992.77,2283333.33,0.0,8969659.44,189789643.43
2025-09-01,Actual,189789643.43,-18112980.54,2283333.33,-2000000.0,-22396313.87,167393329.56
2025-10-01,Actual,167393329.56,-14090489.93,1133333.33,0.0,-15223823.26,152169506.3
2025-11-01,Actual,152169506.3,-3429833.95,1133333.33,0.0,-4563167.28,147606339.02
2025-12-01,Actual,147606339.02,10934567.73,1133333.33,-2000000.0,7801234.4,155407573.42
2026-01-01,Actual,155407573.42,87467358.57,1133333.33,0.0,86334025.24,241741598.66
2026-02-01,Actual,241741598.66,-16638151.52,1133333.33,0.0,-17771484.85,223970113.81
2026-03-01,Actual,223970113.81,8980222.54,1133333.33,-2000000.0,5846889.21,229817003.02
2026-04-01,Actual,229817003.02,-4045467.25,0.0,0.0,-4045467.25,225771535.77
2026-05-01,Actual,225771535.77,15156427.45,0.0,0.0,15156427.45,240927963.22
2026-06-01,Actual,240927963.22,2304436.15,0.0,-2000000.0,304436.15,241232399.37
2026-01-01,Budget,155407573.42,113561044.9,1166666.67,0.0,112394378.23,267801951.65
2026-02-01,Budget,267801951.65,-17336878.13,2666666.67,0.0,-20003544.8,247798406.85
2026-03-01,Budget,247798406.85,3797742.62,2666666.67,-2000000.0,-868924.05,246929482.8
2026-04-01,Budget,246929482.8,842661.4,3300000.0,0.0,-2457338.6,244472144.2
2026-05-01,Budget,244472144.2,11976462.39,3300000.0,0.0,8676462.39,253148606.59
2026-06-01,Budget,253148606.59,676958.49,3300000.0,-2000000.0,-4623041.51,248525565.08
2026-07-01,Budget,248525565.08,21471590.36,4544444.44,0.0,16927145.92,265452711.0
2026-08-01,Budget,265452711.0,10234595.53,4544444.44,0.0,5690151.09,271142862.09
2026-09-01,Budget,271142862.09,-13584382.81,4544444.44,-2000000.0,-20128827.25,251014034.84
2026-10-01,Budget,251014034.84,-5045750.15,4544444.44,0.0,-9590194.59,241423840.25
2026-11-01,Budget,241423840.25,-263033.24,3044444.44,0.0,-3307477.68,238116362.57
2026-12-01,Budget,238116362.57,14478714.33,3044444.44,-2000000.0,9434269.89,247550632.46
