Month,CostCenterID,Department,Version,FTE,Hires,Exits,AverageSalaryTRY,PayrollCostTRY,BenefitsCostTRY
2023-01-01,CC-101,Sales,Actual,18,0,0,78000.0,1378608.08,255042.5
2023-02-01,CC-101,Sales,Actual,18,0,0,78000.0,1396530.16,258358.08
2023-03-01,CC-101,Sales,Actual,18,0,0,78000.0,1384128.49,256063.77
2023-04-01,CC-101,Sales,Actual,18,0,0,82680.0,1486217.81,274950.3
2023-05-01,CC-101,Sales,Actual,18,0,0,82680.0,1487965.41,275273.6
2023-06-01,CC-101,Sales,Actual,18,0,0,82680.0,1477418.88,273322.49
2023-07-01,CC-101,Sales,Actual,19,1,0,82680.0,1568898.41,290246.21
2023-08-01,CC-101,Sales,Actual,19,0,0,82680.0,1587125.36,293618.19
2023-09-01,CC-101,Sales,Actual,18,0,1,82680.0,1482097.99,274188.13
2023-10-01,CC-101,Sales,Actual,18,0,0,82680.0,1469319.88,271824.18
2023-11-01,CC-101,Sales,Actual,18,0,0,82680.0,1499599.55,277425.92
2023-12-01,CC-101,Sales,Actual,18,0,0,82680.0,1533535.84,283704.13
2024-01-01,CC-101,Sales,Actual,19,1,0,82680.0,1557206.62,288083.23
2024-02-01,CC-101,Sales,Actual,19,0,0,82680.0,1539853.97,284872.98
2024-03-01,CC-101,Sales,Actual,19,0,0,82680.0,1570873.46,290611.59
2024-04-01,CC-101,Sales,Actual,19,0,0,87640.8,1715662.18,317397.5
2024-05-01,CC-101,Sales,Actual,19,0,0,87640.8,1636362.0,302726.97
2024-06-01,CC-101,Sales,Actual,19,0,0,87640.8,1674356.5,309755.95
2024-07-01,CC-101,Sales,Actual,19,0,0,87640.8,1676125.93,310083.3
2024-08-01,CC-101,Sales,Actual,19,0,0,87640.8,1640420.87,303477.86
2024-09-01,CC-101,Sales,Actual,19,0,0,87640.8,1663707.99,307785.98
2024-10-01,CC-101,Sales,Actual,19,0,0,87640.8,1661849.18,307442.1
2024-11-01,CC-101,Sales,Actual,19,0,0,87640.8,1717021.67,317649.01
2024-12-01,CC-101,Sales,Actual,19,0,0,87640.8,1717378.44,317715.01
