Month,BusinessUnit,Version,RevenueTRY,Transactions,AverageSellingPriceTRY,ActiveCustomers,TrafficOrLeads,ConversionRate,RefundOrChurnRate
2023-01-01,Digital Commerce,Actual,33966763.51,17425,1949.29,15558,361814,0.043,0.035
2023-01-01,Retail Stores,Actual,22444746.79,10043,2234.94,8967,81518,0.11,0.018
2023-01-01,Subscription Services,Actual,4217622.23,9927,424.85,7942,72200,0.11,0.062
2023-01-01,Wholesale,Actual,22336117.14,15964,1399.16,14254,129582,0.11,0.018
2023-02-01,Digital Commerce,Actual,35408242.12,18168,1948.98,16221,377233,0.043,0.035
2023-02-01,Retail Stores,Actual,23771778.84,10621,2238.1,9483,86209,0.11,0.018
2023-02-01,Subscription Services,Actual,4271921.19,9940,429.75,7952,72291,0.11,0.062
2023-02-01,Wholesale,Actual,23813189.23,16456,1447.12,14693,133573,0.11,0.018
2023-03-01,Digital Commerce,Actual,38568774.66,19169,2012.08,17115,398023,0.043,0.035
2023-03-01,Retail Stores,Actual,26631023.31,11744,2267.61,10486,95327,0.11,0.018
2023-03-01,Subscription Services,Actual,4523176.62,10477,431.71,8382,76200,0.11,0.062
2023-03-01,Wholesale,Actual,25809157.93,17718,1456.64,15820,143818,0.11,0.018
2023-04-01,Digital Commerce,Actual,40068861.5,19754,2028.36,17638,410186,0.043,0.035
2023-04-01,Retail Stores,Actual,28128897.73,12317,2283.74,10997,99973,0.11,0.018
2023-04-01,Subscription Services,Actual,4614981.93,10315,447.42,8252,75018,0.11,0.062
2023-04-01,Wholesale,Actual,27183762.37,18291,1486.22,16331,148464,0.11,0.018
2023-05-01,Digital Commerce,Actual,43245635.15,21216,2038.38,18943,440535,0.043,0.035
2023-05-01,Retail Stores,Actual,29846557.98,12631,2362.96,11278,102527,0.11,0.018
2023-05-01,Subscription Services,Actual,4615057.1,10302,448.0,8242,74927,0.11,0.062
2023-05-01,Wholesale,Actual,25183787.11,16858,1493.89,15052,136836,0.11,0.018
2023-06-01,Digital Commerce,Actual,44797537.1,21720,2062.5,19393,451000,0.043,0.035
2023-06-01,Retail Stores,Actual,30901851.3,12987,2379.49,11596,105418,0.11,0.018
2023-06-01,Subscription Services,Actual,4899993.81,10926,448.49,8741,79464,0.11,0.062
2023-06-01,Wholesale,Actual,24389761.06,16039,1520.7,14321,130191,0.11,0.018
2023-07-01,Digital Commerce,Actual,43045387.48,20392,2110.93,18207,423419,0.043,0.035
2023-07-01,Retail Stores,Actual,32923570.66,13610,2419.04,12152,110473,0.11,0.018
2023-07-01,Subscription Services,Actual,5189165.55,11442,453.53,9154,83218,0.11,0.062
2023-07-01,Wholesale,Actual,22436508.45,14755,1520.62,13174,119764,0.11,0.018
2023-08-01,Digital Commerce,Actual,41899581.41,19766,2119.74,17648,410419,0.043,0.035
2023-08-01,Retail Stores,Actual,27345378.92,11102,2463.15,9912,90109,0.11,0.018
2023-08-01,Subscription Services,Actual,5308829.1,11806,449.65,9445,85864,0.11,0.062
2023-08-01,Wholesale,Actual,24171727.94,15658,1543.72,13980,127091,0.11,0.018
2023-09-01,Digital Commerce,Actual,44103146.85,20875,2112.73,18638,433442,0.043,0.035
2023-09-01,Retail Stores,Actual,30636260.58,12321,2486.59,11001,100009,0.11,0.018
2023-09-01,Subscription Services,Actual,5249140.08,11174,469.78,8939,81264,0.11,0.062
2023-09-01,Wholesale,Actual,31251217.62,20302,1539.35,18127,164791,0.11,0.018
