Month,Version,DSO,DIO,DPO,CashConversionCycleDays,AccountsReceivableTRY,InventoryTRY,AccountsPayableTRY,NetWorkingCapitalTRY,ChangeInNWCTRY
2023-01-01,Actual,34.0,67.0,45.0,56.0,90994144.8,90262531.34,60624088.21,120632587.93,0.0
2023-02-01,Actual,33.92,66.88,45.07,55.73,105715473.44,104260459.39,70260450.13,139715482.7,19082894.78
2023-03-01,Actual,33.84,66.76,45.14,55.46,104284108.53,102945983.42,69607275.19,137622816.76,-2092665.94
2023-04-01,Actual,33.76,66.64,45.21,55.19,112529398.64,112143403.13,76080481.03,148592320.75,10969503.98
2023-05-01,Actual,33.68,66.52,45.28,54.92,111786133.47,110426668.74,75167161.16,147045641.05,-1546679.7
2023-06-01,Actual,33.6,66.4,45.35,54.65,117587840.46,115935124.25,79181594.65,154341370.06,7295729.01
2023-07-01,Actual,33.52,66.28,45.42,54.38,112015873.2,109635441.82,75130382.73,146520932.29,-7820437.77
2023-08-01,Actual,33.44,66.16,45.49,54.11,106496171.0,104905438.43,72130417.08,139271192.34,-7249739.95
2023-09-01,Actual,33.36,66.04,45.56,53.84,123698618.82,123298536.19,85061800.55,161935354.46,22664162.11
2023-10-01,Actual,36.28,70.12,45.63,60.77,134849758.63,130522700.96,84936549.41,180435910.17,18500555.72
2023-11-01,Actual,36.2,70.0,45.7,60.5,147256613.88,141360111.39,92287958.43,196328766.84,15892856.66
2023-12-01,Actual,36.12,69.88,45.77,60.23,152415681.25,145210536.06,95109991.92,202516225.39,6187458.55
2024-01-01,Actual,33.04,65.56,45.84,52.76,101272979.43,100560610.4,70312665.97,131520923.87,-70995301.52
2024-02-01,Actual,32.96,65.44,45.91,52.49,112751129.45,112218353.37,78727759.83,146241722.99,14720799.12
2024-03-01,Actual,32.88,65.32,45.98,52.22,116196330.47,116161679.29,81768432.54,150589577.22,4347854.23
2024-04-01,Actual,32.8,65.2,46.05,51.95,125670612.63,125603101.28,88712006.35,162561707.56,11972130.34
2024-05-01,Actual,32.72,65.08,46.12,51.68,122249103.58,121356888.55,86001531.96,157604460.17,-4957247.38
2024-06-01,Actual,32.64,64.96,46.19,51.41,130910324.83,129623375.14,92169084.02,168364615.95,10760155.78
2024-07-01,Actual,32.56,64.84,46.26,51.14,118784325.25,117392066.04,83753192.09,152423199.2,-15941416.75
2024-08-01,Actual,32.48,64.72,46.33,50.87,113453617.5,112113803.91,80256992.2,145310429.21,-7112769.99
2024-09-01,Actual,32.4,64.6,46.4,50.6,135719770.03,136030491.38,97706111.45,174044149.95,28733720.74
2024-10-01,Actual,35.32,68.68,46.47,57.53,147488664.23,143487251.86,97085797.81,193890118.28,19845968.32
2024-11-01,Actual,35.24,68.56,46.54,57.26,158873174.0,153878530.7,104456050.45,208295654.25,14405535.97
2024-12-01,Actual,35.16,68.44,46.61,56.99,167865535.7,160498566.22,109305058.03,219059043.89,10763389.64
2025-01-01,Actual,32.08,64.12,46.68,49.52,111835063.06,110793451.18,80658738.32,141969775.92,-77089267.98
2025-02-01,Actual,32.0,64.0,46.75,49.25,128209371.82,128332651.13,93742991.26,162799031.69,20829255.78
2025-03-01,Actual,31.92,63.88,46.82,48.98,131339164.61,132377893.96,97024624.22,166692434.35,3893402.66
2025-04-01,Actual,31.84,63.76,46.89,48.71,137728928.62,137529116.66,101140845.05,174117200.24,7424765.88
2025-05-01,Actual,31.76,63.64,46.96,48.44,134819022.65,134340000.71,99129579.4,170029443.95,-4087756.28
2025-06-01,Actual,31.68,63.52,47.03,48.17,142760474.65,142341354.8,105389072.99,179712756.46,9683312.51
2025-07-01,Actual,31.6,63.4,47.1,47.9,130431870.33,130019997.34,96592143.14,163859724.54,-15853031.93
2025-08-01,Actual,31.52,63.28,47.17,47.63,125584902.36,124256639.56,92623035.52,157218506.39,-6641218.15
2025-09-01,Actual,31.44,63.16,47.24,47.36,147726125.27,149526703.17,111837261.84,185415566.61,28197060.22
2025-10-01,Actual,34.36,67.24,47.31,54.29,164383469.36,160298295.74,112785728.31,211896036.79,26480470.18
2025-11-01,Actual,34.28,67.12,47.38,54.02,179308163.17,173394331.32,122399037.81,230303456.68,18407419.89
2025-12-01,Actual,34.2,67.0,47.45,53.75,186451676.36,179838499.14,127363235.58,238926939.91,8623483.23
2026-01-01,Actual,31.12,62.68,47.52,46.28,124632291.26,124119038.75,94099181.9,154652148.11,-84274791.8
2026-02-01,Actual,31.04,62.56,47.59,46.01,141172156.61,141081667.66,107322195.71,174931628.55,20279480.44
2026-03-01,Actual,30.96,62.44,47.66,45.74,140490408.57,141778149.2,108218234.96,174050322.82,-881305.74
2026-04-01,Actual,30.88,62.32,47.73,45.47,151144163.07,152391344.1,116714359.01,186821148.16,12770825.34
2026-05-01,Actual,30.8,62.2,47.8,45.2,146552177.15,147605399.35,113433088.25,180724488.25,-6096659.91
2026-06-01,Actual,30.72,62.08,47.87,44.93,153034391.32,152865080.52,117874539.38,188024932.46,7300444.21
2026-01-01,Budget,29.0,56.0,50.0,35.0,115396194.6,108904139.1,97235838.48,127064495.22,-111862444.69
2026-02-01,Budget,29.0,56.0,50.0,35.0,132582712.7,125472497.42,112029015.55,146026194.57,18961699.35
2026-03-01,Budget,29.0,56.0,50.0,35.0,136117639.75,129143826.05,115306987.55,149954478.25,3928283.69
2026-04-01,Budget,29.0,56.0,50.0,35.0,143063574.73,135575162.17,121049251.93,157589484.97,7635006.71
2026-05-01,Budget,29.0,56.0,50.0,35.0,140431709.48,132453261.67,118261840.77,154623130.37,-2966354.6
2026-06-01,Budget,29.0,56.0,50.0,35.0,149076563.95,140250278.22,125223462.7,164103379.47,9480249.1
2026-07-01,Budget,29.0,56.0,50.0,35.0,136557078.44,127962249.54,114252008.52,150267319.46,-13836060.01
2026-08-01,Budget,29.0,56.0,50.0,35.0,131933739.55,123603990.11,110360705.45,145177024.2,-5090295.26
2026-09-01,Budget,29.0,56.0,50.0,35.0,155411719.17,147688851.15,131865045.67,171235524.65,26058500.45
2026-10-01,Budget,30.5,59.0,50.0,39.5,166596416.62,157477023.25,133455104.45,190618335.42,19382810.77
2026-11-01,Budget,30.5,59.0,50.0,39.5,182384871.76,170949834.81,144872741.37,208461965.21,17843629.78
2026-12-01,Budget,30.5,59.0,50.0,39.5,190029749.45,177053144.57,150045037.77,217037856.25,8575891.04
2026-01-01,Forecast,31.0,60.0,48.0,43.0,124151704.02,118812098.36,95049678.69,147914123.69,-91012816.22
2026-02-01,Forecast,31.0,60.0,48.0,43.0,140990233.73,135308504.79,108246803.83,168051934.68,20137810.99
2026-03-01,Forecast,31.0,60.0,48.0,43.0,140671920.73,136237811.54,108990249.23,167919483.04,-132451.65
2026-04-01,Forecast,31.0,60.0,48.0,43.0,151731510.86,146718238.86,117374591.09,181075158.63,13155675.59
