Month,BusinessUnit,Model,ActualRevenueTRY,PredictedRevenueTRY,AbsoluteErrorTRY,AbsolutePercentageError
2026-01-01,Digital Commerce,Seasonal Naive,54277518.66,46074687.31,8202831.35,0.151128
2026-02-01,Digital Commerce,Seasonal Naive,55936035.58,47117844.2,8818191.38,0.157648
2026-03-01,Digital Commerce,Seasonal Naive,59887618.57,53373456.95,6514161.62,0.108773
2026-04-01,Digital Commerce,Seasonal Naive,63255576.46,54195028.72,9060547.74,0.143237
2026-05-01,Digital Commerce,Seasonal Naive,63396247.09,56039021.18,7357225.91,0.116051
2026-06-01,Digital Commerce,Seasonal Naive,66145683.41,58100075.23,8045608.18,0.121635
2026-01-01,Digital Commerce,Linear Trend + Seasonality,54277518.66,54133886.07,143632.59,0.002646
2026-02-01,Digital Commerce,Linear Trend + Seasonality,55936035.58,55680226.32,255809.26,0.004573
2026-03-01,Digital Commerce,Linear Trend + Seasonality,59887618.57,59698115.44,189503.13,0.003164
2026-04-01,Digital Commerce,Linear Trend + Seasonality,63255576.46,61241966.45,2013610.01,0.031833
2026-05-01,Digital Commerce,Linear Trend + Seasonality,63396247.09,63734396.7,338149.61,0.005334
2026-06-01,Digital Commerce,Linear Trend + Seasonality,66145683.41,65471788.29,673895.12,0.010188
2026-01-01,Digital Commerce,Log-Ridge Seasonal,54277518.66,60302357.97,6024839.31,0.111001
2026-02-01,Digital Commerce,Log-Ridge Seasonal,55936035.58,56231130.16,295094.58,0.005276
2026-03-01,Digital Commerce,Log-Ridge Seasonal,59887618.57,59990301.32,102682.75,0.001715
2026-04-01,Digital Commerce,Log-Ridge Seasonal,63255576.46,64310928.11,1055351.65,0.016684
2026-05-01,Digital Commerce,Log-Ridge Seasonal,63396247.09,68566659.78,5170412.69,0.081557
2026-06-01,Digital Commerce,Log-Ridge Seasonal,66145683.41,69421588.9,3275905.49,0.049526
2026-01-01,Digital Commerce,Gradient Boosting,54277518.66,51015639.12,3261879.54,0.060096
2026-02-01,Digital Commerce,Gradient Boosting,55936035.58,51015639.12,4920396.46,0.087965
2026-03-01,Digital Commerce,Gradient Boosting,59887618.57,51015639.12,8871979.45,0.148144
2026-04-01,Digital Commerce,Gradient Boosting,63255576.46,51015639.12,12239937.34,0.1935
2026-05-01,Digital Commerce,Gradient Boosting,63396247.09,51015639.12,12380607.97,0.195289
2026-06-01,Digital Commerce,Gradient Boosting,66145683.41,51015639.12,15130044.29,0.228738
2026-01-01,Retail Stores,Seasonal Naive,30374320.33,27968044.39,2406275.94,0.079221
2026-02-01,Retail Stores,Seasonal Naive,30572611.7,29025192.18,1547419.52,0.050615
2026-03-01,Retail Stores,Seasonal Naive,35772229.58,33244791.69,2527437.89,0.070654
2026-04-01,Retail Stores,Seasonal Naive,36706211.22,35191266.11,1514945.11,0.041272
2026-05-01,Retail Stores,Seasonal Naive,38998954.64,36495499.88,2503454.76,0.064193
2026-06-01,Retail Stores,Seasonal Naive,41596842.63,38691574.71,2905267.92,0.069843
