BusinessUnit,Model,MAE,RMSE,WAPE,Bias,Score,ChampionFlag
Digital Commerce,Linear Trend + Seasonality,602433.286111,889296.087792,0.00996,-0.008097,0.012389,True
Digital Commerce,Log-Ridge Seasonal,2654047.742423,3534939.991091,0.043881,0.043881,0.057045,False
Digital Commerce,Seasonal Naive,7999761.03,8046068.940876,0.132264,-0.132264,0.171944,False
Digital Commerce,Gradient Boosting,9467474.176667,10372848.684739,0.156531,-0.156531,0.20349,False
Retail Stores,Linear Trend + Seasonality,1011327.221389,1227430.260041,0.028352,0.028352,0.036858,True
Retail Stores,Log-Ridge Seasonal,1910160.089783,2349158.483111,0.053551,0.053551,0.069616,False
Retail Stores,Seasonal Naive,2234133.523333,2294033.546208,0.062633,-0.062633,0.081423,False
Retail Stores,Gradient Boosting,4428097.554907,5024319.651993,0.12414,-0.081043,0.148453,False
Subscription Services,Log-Ridge Seasonal,296276.52385,356523.632845,0.036423,0.015355,0.041029,True
Subscription Services,Linear Trend + Seasonality,281501.765,349878.983202,0.034606,-0.032294,0.044295,False
Subscription Services,Seasonal Naive,1440389.758333,1471709.747683,0.177074,-0.177074,0.230196,False
Subscription Services,Gradient Boosting,2093122.629722,2103482.11118,0.257318,-0.257318,0.334513,False
Wholesale,Log-Ridge Seasonal,587668.289313,680531.680561,0.016772,-0.004134,0.018012,True
Wholesale,Linear Trend + Seasonality,955343.07,1098106.249172,0.027265,-0.00958,0.030139,False
Wholesale,Seasonal Naive,3592160.828333,3738075.993199,0.10252,-0.10252,0.133276,False
Wholesale,Gradient Boosting,5960889.738611,6505098.152169,0.170123,-0.170123,0.22116,False
