Month,Version,Department,FTE,Hires,Exits,PayrollCostTRY,BenefitsCostTRY
2023-01-01,Actual,Customer Success,13,0,0,1067388.46,197466.87
2023-01-01,Actual,Finance & Corporate,18,0,0,1584313.09,293097.92
2023-01-01,Actual,Marketing,15,0,0,1198780.15,221774.33
2023-01-01,Actual,Operations,26,0,0,1795456.16,332159.39
2023-01-01,Actual,Sales,97,0,0,7345964.43,1359003.43
2023-01-01,Actual,Technology,23,0,0,2143578.1,396561.95
2023-02-01,Actual,Customer Success,13,0,0,1035815.04,191625.78
2023-02-01,Actual,Finance & Corporate,18,0,0,1586626.5,293525.9
2023-02-01,Actual,Marketing,15,0,0,1196954.19,221436.52
2023-02-01,Actual,Operations,26,0,0,1794304.03,331946.25
2023-02-01,Actual,Sales,97,0,0,7319808.869999999,1354164.64
2023-02-01,Actual,Technology,23,0,0,2242118.05,414791.84
2023-03-01,Actual,Customer Success,13,0,0,1022803.4,189218.63
2023-03-01,Actual,Finance & Corporate,18,0,0,1558135.71,288255.11
2023-03-01,Actual,Marketing,15,0,0,1217292.41,225199.1
2023-03-01,Actual,Operations,26,0,0,1770371.41,327518.71
2023-03-01,Actual,Sales,97,0,0,7309070.22,1352177.98
2023-03-01,Actual,Technology,23,0,0,2204635.23,407857.52
2023-04-01,Actual,Customer Success,13,0,0,1104609.75,204352.8
2023-04-01,Actual,Finance & Corporate,18,0,0,1670228.79,308992.33
2023-04-01,Actual,Marketing,15,0,0,1287667.42,238218.47
2023-04-01,Actual,Operations,26,0,0,1905566.18,352529.74
2023-04-01,Actual,Sales,96,0,1,7673369.54,1419573.36
2023-04-01,Actual,Technology,23,0,0,2375687.8,439502.24
2023-05-01,Actual,Customer Success,13,0,0,1090769.96,201792.44
2023-05-01,Actual,Finance & Corporate,18,0,0,1700386.3,314571.47
2023-05-01,Actual,Marketing,15,0,0,1280506.17,236893.64
2023-05-01,Actual,Operations,26,0,0,1911556.43,353637.94
2023-05-01,Actual,Sales,95,0,1,7617255.45,1409192.26
2023-05-01,Actual,Technology,23,0,0,2406346.04,445174.02
2023-06-01,Actual,Customer Success,14,1,0,1192916.21,220689.5
2023-06-01,Actual,Finance & Corporate,18,0,0,1692477.51,313108.34
2023-06-01,Actual,Marketing,15,0,0,1282150.39,237197.82
2023-06-01,Actual,Operations,26,0,0,1893643.2,350323.99
2023-06-01,Actual,Sales,96,1,0,7688017.22,1422283.19
2023-06-01,Actual,Technology,23,0,0,2315481.97,428364.16
2023-07-01,Actual,Customer Success,14,0,0,1183781.2,218999.52
2023-07-01,Actual,Finance & Corporate,18,0,0,1690901.9,312816.85
2023-07-01,Actual,Marketing,16,1,0,1372782.44,253964.75
2023-07-01,Actual,Operations,27,1,0,1979158.38,366144.3
2023-07-01,Actual,Sales,99,3,0,7922080.5,1465584.9
2023-07-01,Actual,Technology,24,1,0,2410768.19,445992.12
2023-08-01,Actual,Customer Success,14,0,0,1176810.81,217710.0
2023-08-01,Actual,Finance & Corporate,18,0,0,1712149.04,316747.57
2023-08-01,Actual,Marketing,16,0,0,1379516.52,255210.56
2023-08-01,Actual,Operations,27,0,0,1937730.72,358480.18
2023-08-01,Actual,Sales,98,0,1,7974671.12,1475314.16
2023-08-01,Actual,Technology,24,0,0,2453623.22,453920.29
2023-09-01,Actual,Customer Success,14,0,0,1146088.66,212026.4
2023-09-01,Actual,Finance & Corporate,18,0,0,1648339.02,304942.72
2023-09-01,Actual,Marketing,16,0,0,1382832.97,255824.1
2023-09-01,Actual,Operations,28,1,0,2059546.75,381016.15
2023-09-01,Actual,Sales,97,1,2,7817557.57,1446248.15
2023-09-01,Actual,Technology,24,0,0,2435152.21,450503.16
