Iteration,RevenueMultiplier,GrossMarginDelta,OpexMultiplier,DSODelta,RevenueTRY,EBITDATRY,EndingCashTRY,EBITDABelowBudgetFlag,NegativeCashFlag
1,0.886966,0.01719,1.091785,-2.2168,1588389825.23,21429861.8,158069325.33,True,False
2,1.037499,-0.010073,0.946924,1.4373,1857965857.78,218904554.82,275388849.15,False,False
3,0.914001,-0.002038,0.99889,-5.6673,1636803929.48,84045657.32,216415311.26,True,False
4,0.998847,-0.009371,1.026251,-3.0296,1788747087.83,127136372.99,235149826.09,True,False
5,1.015304,-0.004857,0.995174,10.2368,1818219610.15,172972887.03,200477425.69,False,False
6,1.045422,0.015474,1.00636,2.3595,1872154860.19,229744225.81,277973713.03,False,False
7,0.974206,0.02805,0.987049,-5.2971,1744620099.0,199566627.49,294874277.42,False,False
8,0.937317,0.02826,0.936462,-2.426,1678558017.97,202146442.28,282465927.11,False,False
9,0.952931,0.007955,0.939285,-6.1988,1706520359.41,180324404.54,285452227.21,False,False
10,1.206447,0.016333,0.925841,-1.7179,2160520816.13,441403737.66,444173337.93,False,False
11,0.925503,-4.4e-05,1.076737,-6.3424,1657401722.47,40067630.19,189895646.61,True,False
12,1.189496,0.000558,0.979875,-7.2098,2130163468.34,351950660.61,415252934.44,False,False
13,0.992938,0.006963,1.020676,-3.4184,1778166146.13,155061475.88,255945335.5,True,False
14,1.045767,0.009864,1.021735,-4.9162,1872771656.3,208174743.52,300632985.57,False,False
15,0.907088,0.014888,1.07892,-0.3671,1624424421.08,46045618.41,166794835.26,True,False
16,0.953987,0.012,0.99251,-3.6086,1708410779.23,148791777.03,251918662.78,True,False
17,0.85329,0.008979,0.936795,-1.4282,1528082890.11,92147754.39,202489621.79,True,False
18,1.03872,0.011647,0.96055,-2.6397,1860151563.15,250298130.27,317505487.99,False,False
19,1.028973,0.020345,0.947606,5.726,1842697146.79,266889441.29,286427105.25,False,False
20,1.010717,-0.02083,0.97503,-6.1686,1810003655.41,154868980.28,269750172.39,True,False
21,1.128383,-0.015379,0.95856,0.6736,2020721362.84,280167944.8,320634698.43,False,False
22,1.177257,-0.017488,0.919669,-3.6754,2108246233.35,347403664.14,391313410.3,False,False
23,0.968265,-0.005653,1.068546,-6.221,1733980293.09,75100710.21,214472102.03,True,False
24,0.855604,-0.000728,0.989091,-0.8241,1532226871.82,40679128.0,164971111.68,True,False
25,1.107506,0.024036,0.973871,-6.4848,1983334485.74,328685585.88,392593435.54,False,False
26,1.068675,-0.001761,1.00841,2.2944,1913796719.28,216929043.43,269331415.81,False,False
27,1.00225,0.014469,1.017647,8.2241,1794842093.63,179318651.63,215345624.64,False,False
28,1.092808,-0.040405,1.038002,-3.5223,1957013987.05,141150582.63,248717587.74,True,False
29,0.900795,-0.022064,0.975506,-3.943,1613154152.57,57155329.33,190141940.39,True,False
30,1.082536,-0.009422,0.946273,1.0659,1938619157.98,260590333.3,305390222.61,False,False
31,1.036726,0.01758,1.039442,0.1266,1856580652.09,201046102.52,269917362.22,False,False
32,0.934333,0.012092,1.008647,4.8988,1673214700.52,118787625.87,192168681.83,True,False
33,1.042795,-0.017237,1.002219,-5.9242,1867450134.25,169274616.98,279266888.77,False,False
34,1.116138,0.005199,0.995799,-0.7843,1998793492.57,282979171.75,330570897.34,False,False
35,1.071305,0.021489,0.999854,-1.3658,1918505370.25,270240515.1,324792183.0,False,False
36,0.973789,-0.011315,1.030507,3.4706,1743874014.45,98339873.23,184139362.5,True,False
37,0.979625,0.001826,1.009976,2.2404,1754324953.45,141760750.68,219478888.93,True,False
38,0.972429,-0.023747,1.015351,-5.5184,1741437888.14,86709829.65,219141345.31,True,False
39,0.968593,0.021402,1.04893,1.5495,1734567455.86,136850443.02,219544833.56,True,False
40,0.848929,-0.02576,0.918075,6.5781,1520272153.37,49181586.15,139894662.35,True,False
41,0.987597,0.02568,1.008009,-1.5531,1768600984.07,192645036.08,272374058.56,False,False
42,1.061105,-0.012066,0.966939,3.6592,1900239680.34,221230551.9,265236643.13,False,False
43,0.959528,0.020552,0.919699,-3.3454,1718335031.89,222539249.53,300926123.19,False,False
44,0.923187,-0.002476,1.051006,0.4451,1653254093.36,53006086.92,167878206.55,True,False
45,0.953308,-0.00018,1.022018,6.6311,1707195136.48,105516132.64,174585779.38,True,False
46,1.041139,-0.035413,1.010079,-2.1093,1864483555.97,128117436.84,231744236.15,True,False
47,0.955223,-0.009062,1.053657,6.0989,1710624301.21,68625687.33,151931957.22,True,False
48,1.093843,-0.001417,0.972046,1.8422,1958867946.41,267226354.12,305677385.08,False,False
49,1.034694,0.007529,0.97775,-8.808,1852942007.88,226204709.66,332383478.73,False,False
50,1.117233,0.003015,1.009215,-0.0458,2000754092.09,269675480.79,317480245.67,False,False
51,1.055142,0.037168,0.951663,3.3101,1889561021.87,320307109.66,334522933.28,False,False
52,1.053182,-0.014861,1.060993,-7.3151,1886051767.3,139310400.94,266380200.54,True,False
53,1.094278,0.013469,0.974353,-5.3325,1959646227.39,295082762.54,363135867.2,False,False
54,1.138976,0.002565,1.030073,5.6458,2039692834.93,273106121.72,288012295.18,False,False
55,0.976973,0.009481,1.008008,1.0359,1749575097.45,154201997.31,233741914.32,True,False
56,1.022651,-0.016904,1.011083,-2.8817,1831375771.14,145714084.24,247394319.5,True,False
57,1.130813,0.015562,0.972204,-1.295,2025073460.14,334853518.27,368735210.75,False,False
58,1.015699,0.021096,0.908886,-2.0196,1818925247.54,284432265.78,337328328.23,False,False
59,0.882981,0.004176,0.977673,0.4359,1581252682.01,81626661.34,187467634.05,True,False
60,1.017302,0.003803,0.984554,9.9464,1821796382.55,198404562.88,219120215.03,False,False
61,0.922854,-0.033361,0.963776,0.594,1652657900.46,66262389.61,176218695.41,True,False
62,1.002403,-0.006714,0.961358,-1.5894,1795114923.81,183118975.02,266187678.7,False,False
63,1.116507,-0.011392,0.967735,0.0672,1999453567.28,270924904.73,317710725.45,False,False
64,0.91853,0.004633,0.943602,-11.7728,1644914896.79,140043972.26,282135134.47,True,False
65,0.977486,0.036495,1.031576,-4.5589,1750493131.91,184509209.91,281180090.84,False,False
66,0.881197,0.034067,0.986128,4.6618,1578058419.54,120907178.82,195911571.29,True,False
67,0.937998,0.01214,0.93207,-1.6324,1679779041.76,178972469.23,263063778.5,False,False
68,0.983404,-0.011496,1.019911,2.7837,1761092146.99,114372807.97,198192342.52,True,False
69,0.945918,-0.029768,1.035315,-0.7897,1693960791.71,38864359.56,163942479.85,True,False
70,1.006249,-0.003176,0.997674,-7.9522,1802003442.27,166036322.99,286014596.56,False,False
71,1.054864,-0.010684,1.049652,0.9494,1889063517.75,157078174.21,235749403.82,True,False
72,0.985078,0.026493,0.997958,-2.1987,1764089478.53,199125430.62,279881717.03,False,False
73,0.868498,0.023003,0.982769,-4.8281,1555316586.85,93920799.62,218289271.84,True,False
74,0.926073,-0.000814,0.987173,8.8021,1658422419.11,105632512.28,165686392.42,True,False
75,0.870357,-0.04064,0.996344,-2.4157,1558646080.02,-13570417.84,134937493.7,True,False
76,1.038093,0.002705,0.95847,2.2418,1859028796.73,234633950.11,281982782.34,False,False
77,1.01743,0.001722,1.022816,-3.9326,1822025593.83,166395991.63,266629964.49,False,False
78,1.040459,-0.010308,1.019371,1.8459,1863266528.29,167442959.87,238287870.66,False,False
79,0.97607,-0.032667,0.912537,3.6603,1747958095.58,150394648.55,218589371.06,True,False
80,1.133043,0.022704,1.010119,-0.2567,2029067608.06,323349623.66,355154809.26,False,False
81,1.066092,-0.004989,0.992301,-6.8401,1909170500.73,220364781.62,319475888.2,False,False
82,0.992647,0.031481,1.047251,4.8929,1777644870.12,178699364.08,231535959.11,False,False
83,1.051893,-0.026064,1.016584,2.0302,1883742715.7,149961537.5,225345900.18,True,False
84,0.970084,0.00772,1.035092,12.2255,1737237759.07,124734132.22,160481399.84,True,False
85,1.069814,0.001819,0.965874,-1.9439,1915835421.38,256312796.17,318346004.93,False,False
86,1.007421,0.024376,0.949664,12.5288,1804101181.01,252348405.81,243520385.11,False,False
87,1.065615,-0.03409,0.987673,5.5479,1908316046.07,167830947.07,218968969.68,False,False
88,1.006497,-0.005964,0.894022,-3.7314,1802446796.35,237991027.38,314110347.72,False,False
89,0.935391,-0.004734,1.037329,1.9004,1675108848.25,70342073.41,172961114.77,True,False
90,1.028488,0.00764,0.971461,2.864,1841828330.06,225364974.47,272646252.59,False,False
91,1.014921,0.001747,0.997345,2.0106,1817533309.44,183025616.99,248295656.49,False,False
92,1.011146,-0.01432,1.096443,-8.4869,1810773454.01,77117748.25,228393499.2,True,False
93,1.052415,0.011062,0.983947,0.3821,1884676806.66,244547441.46,298169246.16,False,False
94,1.064642,-0.010648,0.90338,-0.1967,1906572965.81,274126296.17,321283447.14,False,False
95,1.007822,-0.010836,0.97055,0.6507,1804819527.56,173711527.69,248756106.07,False,False
96,0.96894,6.7e-05,0.957283,-2.6533,1735190386.86,168024033.72,260719691.92,False,False
97,1.047226,0.035042,0.957005,-7.6292,1875384182.15,304673254.11,380226632.63,False,False
98,0.999412,-0.017458,1.002261,3.5219,1789758950.85,130928507.5,205612012.3,True,False
99,1.061413,0.016081,1.019811,-3.1522,1900790776.37,235851839.93,310644910.1,False,False
100,0.984307,-0.005262,1.036445,0.0932,1762709132.32,113916635.46,210863212.01,True,False
101,0.981979,-0.008492,1.068715,-3.3838,1758540414.53,82254727.84,206085860.29,True,False
102,0.985709,-0.014018,0.982146,9.284,1765220093.06,139926900.12,184100557.86,True,False
103,0.99443,0.007716,1.0199,0.5948,1780837349.88,158345808.79,238623045.8,True,False
104,0.957917,0.006681,0.960954,5.7767,1715449062.75,166675383.01,220039525.81,False,False
105,0.969088,-0.016458,1.04849,1.1337,1735454089.76,71938224.44,177377454.21,True,False
106,0.951818,0.005608,1.047222,-3.1308,1704527623.72,95370820.01,213322806.08,True,False
107,0.979853,0.018913,1.034702,0.3679,1754732626.48,153638559.17,236555260.12,True,False
108,0.942626,-0.015132,1.051954,5.9739,1688066786.69,48446093.52,139164926.95,True,False
109,0.906722,0.006336,1.000072,-9.4641,1623769661.96,90207627.63,237294088.89,True,False
110,0.917989,-0.010378,1.038131,-6.5142,1643946709.56,44870556.75,193701681.07,True,False
111,0.979094,-0.006129,1.00667,4.1878,1753373278.64,129778458.47,201981952.9,True,False
112,1.014205,-0.003821,1.031617,12.2975,1816250816.97,146883523.32,172538217.14,True,False
113,0.988119,-0.00954,0.937894,2.0689,1769536170.8,182740702.33,248083657.54,False,False
114,0.992301,0.017062,0.956273,1.7241,1777023859.33,220115641.47,275134827.44,False,False
