Month,COGSTRY,DepreciationTRY,InterestTRY,OperatingExpenseTRY,RevenueTRY,TaxTRY,GrossProfitTRY,EBITDATRY,EBITTRY,EBTTRY,NetIncomeTRY,GrossMarginPct,EBITDAMarginPct,NetIncomeMarginPct,Version,PeriodStatus,MonthKey,MonthLabel,Year,Quarter,RevenueGrowthPct,ForecastAccuracyPct,CashFromOperationsTRY,CapitalExpenditureTRY,EndingCashTRY,DSO,DIO,DPO,CashConversionCycleDays,NetWorkingCapitalTRY,FTE,Hires,Exits,PayrollCostTRY,CapexSpendTRY,CapexScheduleDepreciationTRY
2026-01-01,61386250.82,1083333.3399999999,500226.72,58369581.9,124151704.02,703077.81,62765453.199999996,4395871.299999997,3312537.959999997,2812311.2399999974,2109233.4299999974,0.5055545044302324,0.0354072570706871,0.01698916214359985,Actual,Actual,2026-01,Jan 2026,2026,Q1,0.1488077681673725,,87467358.57,1133333.33,241741598.66,31.12,62.68,47.52,46.28,154652148.11,222,1,0,20892982.36,1133333.33,1083333.34
2026-01-01,60286219.86,1090277.78,453035.52,60713923.120000005,123354552.85,202774.14,63068332.989999995,2354409.86999999,1264132.0899999898,811096.5699999898,608322.4299999898,0.5112768968218914,0.019086525917393328,0.004931495562548989,Budget,Budget,2026-01,Jan 2026,2026,Q1,,,113561044.9,1166666.67,267801951.65,29.0,56.0,50.0,35.0,127064495.22,221,0,0,24065717.28,1166666.67,1090277.78
2026-01-01,61386250.82,1083333.3399999999,500226.72,58369581.9,124151704.02,703077.81,62765453.199999996,4395871.299999997,3312537.959999997,2812311.2399999974,2109233.4299999974,0.5055545044302324,0.0354072570706871,0.01698916214359985,Forecast,Actual,2026-01,Jan 2026,2026,Q1,,1.0,94205382.99,1133333.33,248479623.08,31.0,60.0,48.0,43.0,147914123.69,222,1,0,20892982.36,1133333.33,1083333.34
2026-02-01,63143968.9,1083333.3399999999,500226.72,59207827.83,127346017.56,852665.19,64202048.660000004,4994220.830000006,3910887.490000006,3410660.770000006,2557995.580000006,0.5041543496226786,0.039217722907172514,0.020086969573232142,Actual,Actual,2026-02,Feb 2026,2026,Q1,0.13516121107300538,,-16638151.52,1133333.33,223970113.81,31.04,62.56,47.59,46.01,174931628.55,222,0,0,20833045.259999998,1133333.33,1083333.34
2026-02-01,62736248.71,1090277.78,453035.52,63018608.43,128010895.02,178181.14,65274646.309999995,2256037.879999995,1165760.0999999952,712724.5799999952,534543.4399999952,0.5099147717059684,0.017623795846810692,0.004175765194958444,Budget,Budget,2026-02,Feb 2026,2026,Q1,,,-17336878.13,2666666.67,247798406.85,29.0,56.0,50.0,35.0,146026194.57,233,12,0,25389269.55,2666666.67,1090277.78
2026-02-01,63143968.9,1083333.3399999999,500226.72,59207827.83,127346017.56,852665.19,64202048.660000004,4994220.830000006,3910887.490000006,3410660.770000006,2557995.580000006,0.5041543496226786,0.039217722907172514,0.020086969573232142,Forecast,Actual,2026-02,Feb 2026,2026,Q1,,1.0,-16496482.07,2566666.66,229416474.35,31.0,60.0,48.0,43.0,168051934.68,222,0,0,20833045.259999998,2566666.66,1083333.34
2026-03-01,70389535.96,1253333.3399999999,500226.72,59401380.09,140671920.73,2281861.16,70282384.77,10881004.679999992,9627671.339999992,9127444.619999992,6845583.459999992,0.4996191450666062,0.07735022471815504,0.04866346762364274,Actual,Actual,2026-03,Mar 2026,2026,Q1,0.10284469022133691,,8980222.54,1133333.33,229817003.02,30.96,62.44,47.66,45.74,174050322.82,221,0,1,20679029.75,1133333.33,1253333.34
2026-03-01,71490332.28,1265277.78,453035.52,63682086.23,145505063.18,2153582.84,74014730.9,10332644.67000001,9067366.89000001,8614331.37000001,6460748.5300000105,0.5086746074838548,0.07101226888041552,0.044402224835348926,Budget,Budget,2026-03,Mar 2026,2026,Q1,,,3797742.62,2666666.67,246929482.8,29.0,56.0,50.0,35.0,149954478.25,233,0,0,25389269.55,2666666.67,1265277.78
2026-03-01,70389535.96,1253333.3399999999,500226.72,59401380.09,140671920.73,2281861.16,70282384.77,10881004.679999992,9627671.339999992,9127444.619999992,6845583.459999992,0.4996191450666062,0.07735022471815504,0.04866346762364274,Forecast,Actual,2026-03,Mar 2026,2026,Q1,,1.0,8231368.45,2566666.66,233081176.14,31.0,60.0,48.0,43.0,167919483.04,221,0,1,20679029.75,2566666.66,1253333.34
2026-04-01,73359119.42999999,1253333.3399999999,500226.72,61761566.83,146836945.99,2490674.92,73477826.56000002,11716259.73000002,10462926.39000002,9962699.670000019,7472024.750000019,0.500404214107014,0.07979095214087283,0.0508865442523497,Actual,Actual,2026-04,Apr 2026,2026,Q2,0.1315193322282413,,-4045467.25,0.0,225771535.77,30.88,62.32,47.73,45.47,186821148.16,221,0,0,22044451.64,0.0,1253333.34
