Month,COGSTRY,DepreciationTRY,InterestTRY,OperatingExpenseTRY,RevenueTRY,TaxTRY,GrossProfitTRY,EBITDATRY,EBITTRY,EBTTRY,NetIncomeTRY,GrossMarginPct,EBITDAMarginPct,NetIncomeMarginPct,Version,PeriodStatus,MonthKey,MonthLabel,Year,Quarter,RevenueGrowthPct,ForecastAccuracyPct
2023-01-01,41763260.77,0.0,420000.0,39267566.81,82965249.67,378605.52,41201988.9,1934422.0899999961,1934422.0899999961,1514422.0899999961,1135816.569999996,0.4966174279458418,0.023316052174787556,0.013690268811554052,Actual,Actual,2023-01,Jan 2023,2023,Q1,,
2023-02-01,43649713.86,0.0,420000.0,39564737.25,87265131.38,907670.07,43615417.519999996,4050680.269999996,4050680.269999996,3630680.269999996,2723010.199999996,0.4998034934488859,0.046418084817418354,0.031203874410530866,Actual,Actual,2023-02,Feb 2023,2023,Q1,,
2023-03-01,47802958.15,0.0,420000.0,40187549.57,95532132.52,1780406.2,47729174.37,7541624.799999997,7541624.799999997,7121624.799999997,5341218.599999997,0.4996138274209227,0.07894333143271068,0.055910178691779895,Actual,Actual,2023-03,Mar 2023,2023,Q1,,
2023-04-01,50484725.3,0.0,420000.0,41878622.96,99996503.53,1803288.82,49511778.230000004,7633155.270000003,7633155.270000003,7213155.270000003,5409866.450000003,0.49513509455004046,0.07633422170316162,0.05410055610971424,Actual,Actual,2023-04,Apr 2023,2023,Q2,,
2023-05-01,51461616.519999996,0.0,420000.0,42254326.3,102891037.34,2188773.63,51429420.82000001,9175094.52000001,9175094.52000001,8755094.52000001,6566320.890000011,0.4998435446816733,0.08917292270736096,0.06381820088276322,Actual,Actual,2023-05,May 2023,2023,Q2,,
2023-06-01,52380327.22,169791.67,420000.0,42238342.03,104989143.27,2445170.59,52608816.05,10370474.019999996,10200682.349999996,9780682.349999996,7335511.759999996,0.5010881545600024,0.09877663248789739,0.06986924106176676,Actual,Actual,2023-06,Jun 2023,2023,Q2,,
2023-07-01,51277892.22,169791.67,420000.0,42833290.269999996,103594632.14,2223414.5,52316739.92,9483449.650000006,9313657.980000006,8893657.980000006,6670243.480000006,0.5050140035180398,0.09154383247564285,0.06438792572751932,Actual,Actual,2023-07,Jul 2023,2023,Q3,,
2023-08-01,49154603.86,169791.67,420000.0,43103430.03,98725517.37,1469422.95,49570913.510000005,6467483.480000004,6297691.810000004,5877691.810000004,4408268.860000004,0.5021084196927517,0.06550974512254414,0.04465176762233466,Actual,Actual,2023-08,Aug 2023,2023,Q3,,
2023-09-01,56010843.21,169791.67,420000.0,43486200.88,111239765.13,2788232.34,55228921.919999994,11742721.039999992,11572929.369999992,11152929.369999992,8364697.029999992,0.49648542367432086,0.10556226027874922,0.0751952057811756,Actual,Actual,2023-09,Sep 2023,2023,Q3,,
2023-10-01,57703989.3,277291.67000000004,420000.0,44043117.53,115224435.43,3195009.23,57520446.13000001,13477328.600000009,13200036.930000009,12780036.930000009,9585027.700000009,0.49920354059746513,0.1169658896544355,0.08318572066966654,Actual,Actual,2023-10,Oct 2023,2023,Q4,,
2023-11-01,60582904.88,277291.67000000004,420000.0,44797861.66,122035867.86,3989452.41,61452962.98,16655101.32,16377809.65,15957809.65,11968357.24,0.503564763848765,0.13647709982369113,0.09807245566303625,Actual,Actual,2023-11,Nov 2023,2023,Q4,,
2023-12-01,64417953.89,277291.67000000004,420000.0,45762961.12,130810800.63,4983148.49,66392846.739999995,20629885.619999997,20352593.949999996,19932593.949999996,14949445.459999995,0.5075486612744845,0.1577078155675531,0.11428295972505123,Actual,Actual,2023-12,Dec 2023,2023,Q4,,
2024-01-01,47550014.07,277291.67000000004,445200.0,44880286.62,95020047.29,466813.73,47470033.220000006,2589746.600000009,2312454.930000009,1867254.930000009,1400441.200000009,0.49957913697013906,0.027254739119379034,0.014738376163146707,Actual,Actual,2024-01,Jan 2024,2024,Q1,0.14529935928534887,
2024-02-01,49730016.01,277291.67000000004,445200.0,45379138.04,99204573.85,843232.03,49474557.839999996,4095419.799999997,3818128.129999997,3372928.129999997,2529696.099999997,0.49871246778204875,0.041282570360035846,0.025499793021891974,Actual,Actual,2024-02,Feb 2024,2024,Q1,0.1368180197656399,
2024-03-01,55128782.269999996,277291.67000000004,445200.0,45949937.51,109552501.36,1937822.48,54423719.09,8473781.580000006,8196489.910000006,7751289.910000006,5813467.430000005,0.49678207630475235,0.0773490470304676,0.05306558369576971,Actual,Actual,2024-03,Mar 2024,2024,Q1,0.14676076488782241,
2024-04-01,57792838.01,277291.67000000004,445200.0,48054224.98,114942633.5,2093269.71,57149795.49,9095570.510000005,8818278.840000005,8373078.840000005,6279809.1300000055,0.4972027675875375,0.07913139131269344,0.05463428963457676,Actual,Actual,2024-04,Apr 2024,2024,Q2,0.14946652575223296,
2024-05-01,57806753.92,277291.67000000004,445200.0,48339248.66,115822805.96000001,2238577.93,58016052.04000001,9676803.38000001,9399511.71000001,8954311.71000001,6715733.7800000105,0.5009035272382897,0.08354834179498244,0.05798282751256539,Actual,Actual,2024-05,May 2024,2024,Q2,0.12568411160310689,
2024-06-01,59863011.92,277291.67000000004,445200.0,49080337.87,120321989.72999999,2664037.07,60458977.80999999,11378639.93999999,11101348.26999999,10656148.26999999,7992111.19999999,0.5024765460217925,0.09456824945742186,0.06642269811141022,Actual,Actual,2024-06,Jun 2024,2024,Q2,0.14604220953178548,
2024-07-01,56125139.53,533541.6699999999,445200.0,48948626.03,113093184.36,1760169.28,56968044.83,8019418.799999997,7485877.129999997,7040677.129999997,5280507.849999997,0.5037265963672791,0.07090983285493542,0.046691654142401735,Actual,Actual,2024-07,Jul 2024,2024,Q3,0.09168961773196371,
2024-08-01,53700987.660000004,533541.6699999999,445200.0,49523705.97,108283932.96,1020124.42,54582945.29999999,5059239.329999991,4525697.659999991,4080497.659999991,3060373.239999991,0.5040724307655402,0.04672197612058356,0.028262486929898367,Actual,Actual,2024-08,Aug 2024,2024,Q3,0.0968180855834595,
2024-09-01,63172054.82,533541.6699999999,445200.0,50057211.24,125666453.73,2864611.5,62494398.910000004,12437187.670000002,11903646.000000002,11458446.000000002,8593834.500000002,0.49730375175758534,0.0989698308565455,0.06838606680557915,Actual,Actual,2024-09,Sep 2024,2024,Q3,0.12969003110659494,
2024-10-01,64765649.5,533541.6699999999,445200.0,50882684.24,129449280.61,3205551.3,64683631.11,13800946.869999997,13267405.199999997,12822205.199999997,9616653.899999999,0.49968320260408744,0.10661277378264448,0.07428897136147629,Actual,Actual,2024-10,Oct 2024,2024,Q4,0.12345337277561863,
2024-11-01,67333079.36,754375.0,445200.0,51651910.58,135249580.59,3766253.91,67916501.23,16264590.650000006,15510215.650000006,15065015.650000006,11298761.740000006,0.502156834303866,0.12025612633361886,0.0835400870798368,Actual,Actual,2024-11,Nov 2024,2024,Q4,0.10827728733947972,
