Month,BusinessUnit,ChampionModel,ForecastRevenueTRY,Lower80RevenueTRY,Upper80RevenueTRY,ResidualStdTRY,ForecastHorizonMonth
2026-07-01,Digital Commerce,Linear Trend + Seasonality,62990881.71,61928573.25,64053190.17,813160.53,1
2026-07-01,Retail Stores,Linear Trend + Seasonality,41009206.22,40013803.24,42004609.21,761946.69,1
2026-07-01,Subscription Services,Log-Ridge Seasonal,8994158.5,8516279.03,9472037.97,365800.27,1
2026-07-01,Wholesale,Log-Ridge Seasonal,32265055.27,31313471.73,33216638.8,728404.41,1
2026-08-01,Digital Commerce,Linear Trend + Seasonality,61627525.34,60544179.02,62710871.66,813160.53,2
2026-08-01,Retail Stores,Linear Trend + Seasonality,35949184.86,34934069.01,36964300.71,761946.69,2
2026-08-01,Subscription Services,Log-Ridge Seasonal,9276251.51,8788908.17,9763594.86,365800.27,2
2026-08-01,Wholesale,Log-Ridge Seasonal,34561691.52,33591262.92,35532120.13,728404.41,2
2026-09-01,Digital Commerce,Linear Trend + Seasonality,65375689.93,64271706.59,66479673.27,813160.53,3
2026-09-01,Retail Stores,Linear Trend + Seasonality,39619241.88,38584788.76,40653695.01,761946.69,3
2026-09-01,Subscription Services,Log-Ridge Seasonal,9401442.16,8904815.25,9898069.07,365800.27,3
2026-09-01,Wholesale,Log-Ridge Seasonal,41744656.17,40755741.55,42733570.79,728404.41,3
2026-10-01,Digital Commerce,Linear Trend + Seasonality,70473569.68,69349328.08,71597811.28,813160.53,4
2026-10-01,Retail Stores,Linear Trend + Seasonality,39785045.02,38731609.52,40838480.52,761946.69,4
2026-10-01,Subscription Services,Log-Ridge Seasonal,9685529.35,9179789.26,10191269.44,365800.27,4
2026-10-01,Wholesale,Log-Ridge Seasonal,42251553.34,41244491.98,43258614.7,728404.41,4
2026-11-01,Digital Commerce,Linear Trend + Seasonality,79224179.07,78080037.84,80368320.3,813160.53,5
2026-11-01,Retail Stores,Linear Trend + Seasonality,41848054.58,40775972.76,42920136.4,761946.69,5
2026-11-01,Subscription Services,Log-Ridge Seasonal,9657759.36,9143067.42,10172451.3,365800.27,5
2026-11-01,Wholesale,Log-Ridge Seasonal,38967524.36,37942637.52,39992411.19,728404.41,5
2026-12-01,Digital Commerce,Linear Trend + Seasonality,85750967.61,84587267.0,86914668.23,813160.53,6
2026-12-01,Retail Stores,Linear Trend + Seasonality,48907553.71,47817144.37,49997963.04,761946.69,6
2026-12-01,Subscription Services,Log-Ridge Seasonal,9713751.82,9190261.09,10237242.55,365800.27,6
2026-12-01,Wholesale,Log-Ridge Seasonal,35773654.09,34731246.56,36816061.63,728404.41,6
2027-01-01,Digital Commerce,Linear Trend + Seasonality,61596986.29,60414049.65,62779922.93,813160.53,7
2027-01-01,Retail Stores,Linear Trend + Seasonality,33916095.21,32807661.35,35024529.06,761946.69,7
2027-01-01,Subscription Services,Log-Ridge Seasonal,9416592.86,8884448.81,9948736.91,365800.27,7
2027-01-01,Wholesale,Log-Ridge Seasonal,35320303.96,34260665.38,36379942.55,728404.41,7
2027-02-01,Digital Commerce,Linear Trend + Seasonality,63171370.71,61969505.88,64373235.54,813160.53,8
2027-02-01,Retail Stores,Linear Trend + Seasonality,34748806.9,33622636.98,35874976.82,761946.69,8
2027-02-01,Subscription Services,Log-Ridge Seasonal,9453480.07,8912821.17,9994138.97,365800.27,8
2027-02-01,Wholesale,Log-Ridge Seasonal,37353051.06,36276457.19,38429644.94,728404.41,8
2027-03-01,Digital Commerce,Linear Trend + Seasonality,67172683.3,65952183.79,68393182.8,813160.53,9
2027-03-01,Retail Stores,Linear Trend + Seasonality,38999637.19,37856006.23,40143268.14,761946.69,9
2027-03-01,Subscription Services,Log-Ridge Seasonal,9649097.32,9100055.61,10198139.02,365800.27,9
2027-03-01,Wholesale,Log-Ridge Seasonal,41448391.59,40355105.34,42541677.83,728404.41,9
2027-04-01,Digital Commerce,Linear Trend + Seasonality,69172561.03,67933707.12,70411414.94,813160.53,10
2027-04-01,Retail Stores,Linear Trend + Seasonality,40578222.69,39417393.31,41739052.07,761946.69,10
2027-04-01,Subscription Services,Log-Ridge Seasonal,10033921.57,9476623.14,10591220.01,365800.27,10
2027-04-01,Wholesale,Log-Ridge Seasonal,42594533.96,41484806.4,43704261.53,728404.41,10
2027-05-01,Digital Commerce,Linear Trend + Seasonality,71077051.37,69820111.04,72333991.69,813160.53,11
2027-05-01,Retail Stores,Linear Trend + Seasonality,41927472.47,40749695.78,43105249.17,761946.69,11
2027-05-01,Subscription Services,Log-Ridge Seasonal,10282006.15,9716571.54,10847440.76,365800.27,11
2027-05-01,Wholesale,Log-Ridge Seasonal,40271062.88,39145134.06,41396991.71,728404.41,11
2027-06-01,Digital Commerce,Linear Trend + Seasonality,73067454.14,71792683.98,74342224.3,813160.53,12
2027-06-01,Retail Stores,Linear Trend + Seasonality,44265126.29,43070642.71,45459609.87,761946.69,12
2027-06-01,Subscription Services,Log-Ridge Seasonal,10563161.54,9989706.18,11136616.9,365800.27,12
2027-06-01,Wholesale,Log-Ridge Seasonal,37991669.6,36849769.36,39133569.85,728404.41,12
