Month,Scenario,BeginningCashTRY,CashFromOperationsTRY,CapitalExpenditureTRY,FinancingCashFlowTRY,EndingCashTRY,DSO,DIO,DPO,CashConversionCycleDays
2026-07-01,Base,241232399.37,24897494.76,4398888.89,0,261731005.24,31.0,60.0,48.0,43.0
2026-08-01,Base,261731005.24,11855371.6,4398888.89,0,269187487.95,31.0,60.0,48.0,43.0
2026-09-01,Base,269187487.95,-12190121.04,4398888.89,-2000000,250598478.03,31.0,60.0,48.0,43.0
2026-10-01,Base,250598478.03,-6566214.63,4398888.89,0,239633374.5,33.1,63.6,48.0,48.7
2026-11-01,Base,239633374.5,-363999.82,2965555.56,0,236303819.12,33.1,63.6,48.0,48.7
2026-12-01,Base,236303819.12,14290762.24,2965555.56,-2000000,245629025.81,33.1,63.6,48.0,48.7
2027-01-01,Base,245629025.81,76281694.38,2965555.56,0,318945164.62,31.0,60.0,48.0,43.0
2027-02-01,Base,318945164.62,-16907650.82,1205555.56,0,300831958.25,31.0,60.0,48.0,43.0
2027-03-01,Base,300831958.25,14363662.27,1205555.56,-2000000,311990064.95,31.0,60.0,48.0,43.0
2027-04-01,Base,311990064.95,-3142810.65,0.0,0,308847254.3,31.0,60.0,48.0,43.0
2027-05-01,Base,308847254.3,15011225.15,0.0,0,323858479.45,31.0,60.0,48.0,43.0
2027-06-01,Base,323858479.45,1426652.46,0.0,-2000000,323285131.91,31.0,60.0,48.0,43.0
2026-07-01,Downside,241232399.37,-3774357.6,4134955.56,0,233323086.21,36.0,67.0,46.0,57.0
2026-08-01,Downside,233323086.21,7507133.64,4134955.56,0,236695264.3,36.0,67.0,46.0,57.0
2026-09-01,Downside,236695264.3,-21147436.43,4134955.56,-2000000,209412872.31,36.0,67.0,46.0,57.0
2026-10-01,Downside,209412872.31,-10692134.29,4134955.56,0,194585782.46,38.1,70.6,46.0,62.7
2026-11-01,Downside,194585782.46,-8401397.78,2787622.23,0,183396762.46,38.1,70.6,46.0,62.7
2026-12-01,Downside,183396762.46,6991667.49,2787622.23,-2000000,185600807.72,38.1,70.6,46.0,62.7
2027-01-01,Downside,185600807.72,75745240.6,2787622.23,0,258558426.1,36.0,67.0,46.0,57.0
2027-02-01,Downside,258558426.1,-25212985.98,1133222.23,0,232212217.9,36.0,67.0,46.0,57.0
2027-03-01,Downside,232212217.9,9195659.02,1133222.23,-2000000,238274654.69,36.0,67.0,46.0,57.0
2027-04-01,Downside,238274654.69,-10532610.37,0.0,0,227742044.32,36.0,67.0,46.0,57.0
2027-05-01,Downside,227742044.32,10031074.18,0.0,0,237773118.5,36.0,67.0,46.0,57.0
2027-06-01,Downside,237773118.5,-5630579.95,0.0,-2000000,230142538.55,36.0,67.0,46.0,57.0
2026-07-01,Stress,241232399.37,-37250674.24,4134955.56,0,199846769.58,43.0,75.0,43.0,75.0
2026-08-01,Stress,199846769.58,1825158.96,4134955.56,0,197536972.98,43.0,75.0,43.0,75.0
2026-09-01,Stress,197536972.98,-31078535.08,4134955.56,-2000000,160323482.35,43.0,75.0,43.0,75.0
2026-10-01,Stress,160323482.35,-15091174.76,4134955.56,0,141097352.04,45.1,78.6,43.0,80.7
2026-11-01,Stress,141097352.04,-16993063.67,2787622.23,0,121316666.13,45.1,78.6,43.0,80.7
2026-12-01,Stress,121316666.13,-651359.99,2787622.23,-2000000,115877683.92,45.1,78.6,43.0,80.7
2027-01-01,Stress,115877683.92,74642785.82,2787622.23,0,187732847.51,43.0,75.0,43.0,75.0
2027-02-01,Stress,187732847.51,-35876056.56,1133222.23,0,150723568.72,43.0,75.0,43.0,75.0
2027-03-01,Stress,150723568.72,3160801.16,1133222.23,-2000000,150751147.66,43.0,75.0,43.0,75.0
2027-04-01,Stress,150751147.66,-19753133.71,0.0,0,130998013.94,43.0,75.0,43.0,75.0
2027-05-01,Stress,130998013.94,3739956.02,0.0,0,134737969.96,43.0,75.0,43.0,75.0
2027-06-01,Stress,134737969.96,-14088523.87,0.0,-2000000,118649446.09,43.0,75.0,43.0,75.0
2026-07-01,Upside,241232399.37,44657398.16,4486866.67,0,281402930.87,28.0,56.0,50.0,34.0
2026-08-01,Upside,281402930.87,16024386.33,4486866.67,0,292940450.53,28.0,56.0,50.0,34.0
2026-09-01,Upside,292940450.53,-4916078.13,4486866.67,-2000000,281537505.74,28.0,56.0,50.0,34.0
2026-10-01,Upside,281537505.74,-2848915.71,4486866.67,0,274201723.36,30.1,59.6,50.0,39.7
2026-11-01,Upside,274201723.36,6401987.34,3024866.67,0,277578844.03,30.1,59.6,50.0,39.7
2026-12-01,Upside,277578844.03,20733002.11,3024866.67,-2000000,293286979.47,30.1,59.6,50.0,39.7
2027-01-01,Upside,293286979.47,78536982.45,3024866.67,0,368799095.25,28.0,56.0,50.0,34.0
2027-02-01,Upside,368799095.25,-10175518.04,1229666.67,0,357393910.54,28.0,56.0,50.0,34.0
2027-03-01,Upside,357393910.54,19220921.64,1229666.67,-2000000,373385165.51,28.0,56.0,50.0,34.0
2027-04-01,Upside,373385165.51,3171594.36,0.0,0,376556759.87,28.0,56.0,50.0,34.0
2027-05-01,Upside,376556759.87,19793751.44,0.0,0,396350511.31,28.0,56.0,50.0,34.0
2027-06-01,Upside,396350511.31,7567546.78,0.0,-2000000,401918058.09,28.0,56.0,50.0,34.0
