Month,Scenario,COGSTRY,DepreciationTRY,InterestTRY,OperatingExpenseTRY,RevenueTRY,TaxTRY,GrossProfitTRY,EBITDATRY,EBITTRY,EBTTRY,NetIncomeTRY,GrossMarginPct,EBITDAMarginPct,NetIncomeMarginPct
2026-01-01,Base,61386250.82,1083333.3399999999,500226.72,58369581.9,124151704.02,703077.81,62765453.199999996,4395871.299999997,3312537.959999997,2812311.2399999974,2109233.4299999974,0.5055545044302324,0.0354072570706871,0.01698916214359985
2026-02-01,Base,63143968.9,1083333.3399999999,500226.72,59207827.83,127346017.56,852665.19,64202048.660000004,4994220.830000006,3910887.490000006,3410660.770000006,2557995.580000006,0.5041543496226786,0.039217722907172514,0.020086969573232142
2026-03-01,Base,70389535.96,1253333.3399999999,500226.72,59401380.09,140671920.73,2281861.16,70282384.77,10881004.679999992,9627671.339999992,9127444.619999992,6845583.459999992,0.4996191450666062,0.07735022471815504,0.04866346762364274
2026-04-01,Base,73359119.42999999,1253333.3399999999,500226.72,61761566.83,146836945.99,2490674.92,73477826.56000002,11716259.73000002,10462926.39000002,9962699.670000019,7472024.750000019,0.500404214107014,0.07979095214087283,0.0508865442523497
2026-05-01,Base,73565391.96,1253333.3399999999,500226.72,61776283.7,147503814.66,2602144.74,73938422.7,12162139.0,10908805.66,10408578.94,7806434.199999999,0.501264478280985,0.08245304725192387,0.05292360891136291
2026-06-01,Base,73871656.18,1253333.3399999999,500226.72,62687035.5,149447647.77,2783849.01,75575991.59,12888956.090000004,11635622.750000004,11135396.030000003,8351547.020000003,0.505702115207002,0.08624395420285311,0.055882759913712644
2026-07-01,Base,71321689.06,1253333.3399999999,453035.52,60915341.87,145259301.7,2828975.48,73937612.63999999,13022270.769999988,11768937.429999989,11315901.909999989,8486926.429999989,0.5090043238174261,0.08964844672663044,0.05842604453329813
2026-08-01,Base,69590363.00999999,1253333.3399999999,453035.52,62001655.94,141414653.24,2029066.36,71824290.23000002,9822634.290000021,8569300.950000022,8116265.430000022,6087199.070000022,0.5078984997976438,0.06945980536634819,0.043045037628945085
2026-09-01,Base,77526998.85,1253333.3399999999,453035.52,62827371.72,156141030.14,3520072.68,78614031.28999999,15786659.569999993,14533326.229999993,14080290.709999993,10560218.029999994,0.5034809314343108,0.10110513268578589,0.0676325628217736
2026-10-01,Base,80321457.61,1522083.34,453035.52,62354921.61,162195697.39000002,4386049.83,81874239.78000002,19519318.170000017,17997234.830000017,17544199.310000017,13158149.480000017,0.5047867551204713,0.12034424145706998,0.08112514506695705
